subjectId	activityId	freq	timeBodyAccMagnitudeMean	timeBodyAccMagnitudeStdDev	timeGravityAccMagnitudeMean	timeGravityAccMagnitudeStdDev	timeBodyAccJerkMagnitudeMean	timeBodyAccJerkMagnitudeStdDev	timeBodyGyroMagnitudeMean	timeBodyGyroMagnitudeStdDev	timeBodyGyroJerkMagnitudeMean	timeBodyGyroJerkMagnitudeStdDev	freqBodyAccMagnitudeMean	freqBodyAccMagnitudeStdDev	freqBodyBodyAccJerkMagnitudeMean	freqBodyBodyAccJerkMagnitudeStdDev	freqBodyBodyGyroMagnitudeMean	freqBodyBodyGyroMagnitudeStdDev	freqBodyBodyGyroJerkMagnitudeMean	freqBodyBodyGyroJerkMagnitudeStdDev	activityType
1	1	1	-0.136971177	-0.219688646	-0.136971177	-0.219688646	-0.141428809	-0.07447175	-0.160979553	-0.186978365	-0.298703679	-0.325324879	-0.128623451	-0.398032587	-0.0571194	-0.103492403	-0.199252569	-0.321017954	-0.319308594	-0.381601912	WALKING
2	1	10	-0.127400912	-0.185602396	-0.127400912	-0.185602396	-0.132624992	0.037608338	-0.15645873	-0.402025136	-0.440363637	-0.501027917	-0.093023742	-0.370471944	0.020518952	0.050208763	-0.41261691	-0.499759797	-0.515065336	-0.517675799	WALKING
3	1	8	0.051678628	-0.180407283	0.051678628	-0.180407283	-0.066832243	-0.184571054	-0.003102438	-0.238746704	-0.33912927	-0.502957255	-0.095217283	-0.360818979	-0.12383441	-0.27643613	-0.301241849	-0.327459578	-0.473026231	-0.581240191	WALKING
4	1	17	-0.151151488	-0.461837867	-0.151151488	-0.461837867	-0.301093269	-0.275672786	-0.335009837	-0.522494764	-0.517167441	-0.539708491	-0.429380043	-0.565162508	-0.335938892	-0.21123186	-0.518618059	-0.615320078	-0.58271186	-0.520385479	WALKING
5	1	15	-0.186514651	-0.323878324	-0.186514651	-0.323878324	-0.320129323	-0.310071425	-0.243711124	-0.425798469	-0.543979501	-0.637785955	-0.275156242	-0.458344792	-0.289753952	-0.342411928	-0.489166384	-0.481750219	-0.645075178	-0.654010147	WALKING
6	1	4	-0.312050574	-0.527679103	-0.312050574	-0.527679103	-0.36670088	-0.316918956	-0.497792201	-0.553116111	-0.681304037	-0.730146369	-0.450804558	-0.651172628	-0.318587811	-0.320458701	-0.609285588	-0.593937201	-0.724327421	-0.757768081	WALKING
7	1	2	-0.290407594	-0.422544169	-0.290407594	-0.422544169	-0.281424154	-0.164150985	-0.446549093	-0.553019916	-0.54791195	-0.557798151	-0.324289428	-0.577105212	-0.169064353	-0.164091969	-0.530704815	-0.65179284	-0.583249293	-0.558104555	WALKING
8	1	11	-0.288323472	-0.487735915	-0.288323472	-0.487735915	-0.402333202	-0.403141285	-0.421801674	-0.558362783	-0.630732706	-0.753671416	-0.458514063	-0.584455992	-0.395116134	-0.417446816	-0.610222629	-0.599745438	-0.751914457	-0.773574065	WALKING
9	1	9	-0.09808405	-0.37942877	-0.09808405	-0.37942877	-0.203733616	-0.317113487	-0.294542267	-0.489725812	-0.510253996	-0.599866473	-0.318801023	-0.513891953	-0.316870716	-0.322337537	-0.51379748	-0.562714529	-0.602581618	-0.624351924	WALKING
10	1	18	-0.287908078	-0.460346465	-0.287908078	-0.460346465	-0.379269262	-0.425418661	-0.500471148	-0.608510091	-0.636485897	-0.726591779	-0.424386734	-0.565563057	-0.414037751	-0.444453486	-0.620331394	-0.668908147	-0.710596311	-0.769408386	WALKING
11	1	16	-0.258766694	-0.471809267	-0.258766694	-0.471809267	-0.363144484	-0.403386564	-0.485931933	-0.665078404	-0.671541834	-0.722808438	-0.410463242	-0.592150985	-0.378278491	-0.441447755	-0.669228541	-0.721137002	-0.72068229	-0.745726854	WALKING
12	1	5	-0.158338674	-0.377178733	-0.158338674	-0.377178733	-0.288333024	-0.282242277	-0.355933084	-0.492176824	-0.444532485	-0.489199746	-0.304992489	-0.519636926	-0.269481661	-0.305685376	-0.484262829	-0.589741507	-0.548053575	-0.455665301	WALKING
13	1	3	-0.254690333	-0.328428937	-0.254690333	-0.328428937	-0.280009317	-0.139916355	-0.466411754	-0.561510683	-0.566135218	-0.567371561	-0.290031535	-0.456373081	-0.186764517	-0.08985199	-0.569755772	-0.632643293	-0.607751646	-0.549087008	WALKING
14	1	12	-0.10220455	-0.236972869	-0.10220455	-0.236972869	-0.144064923	-0.02028505	-0.355930365	-0.413208341	-0.517493775	-0.548890451	-0.153116003	-0.408896299	-0.029912425	-0.013953909	-0.442503784	-0.494802215	-0.561176441	-0.564934013	WALKING
15	1	21	-0.123455662	-0.299709752	-0.123455662	-0.299709752	-0.148138992	-0.083848797	-0.284775645	-0.408304434	-0.426930725	-0.450369989	-0.251266389	-0.438149791	-0.14400989	-0.018673441	-0.409516081	-0.512249343	-0.499597203	-0.429323466	WALKING
16	1	19	0.064817344	-0.099392717	0.064817344	-0.099392717	0.10945099	0.035655879	0.100045071	-0.021846317	-0.164699978	-0.27148748	0.03222723	-0.324793406	0.073017993	-0.022286959	-0.095246045	-0.141598402	-0.262442823	-0.336148733	WALKING
